"Previous 
Local Code","UCOP Major
Code (CSS)",ISIS Major Code,Major Abbreviation,Major Description ,Diploma Title,Start Term,End Term,"Student 
Level",Department,Award Type,Program Length (in years),College,CIP Code,CIP Description,STEM,"Self 
Supporting","Discontinued or
Phasing Out",Notes,,,,,,,,
,593,BI38,NeuroBio,Neurobiology,Neurobiology,S118,,UN,BIOL,BS,4,RE MU TH WA FI SI SN EI,261599,"NEUROBIOLOGY AND NEUROSCIENCES, OTHER",YES,,,Administrative start in S1 to accommodate new students attending Summer,,,,,,,,
,057,BI50,Hn-AnPhysl,Animal Physiology & Neurosci,Animal Physiology and Neuroscience,WI91,S205,UN,BIOL,BA BS,4,RE MU TH WA FI SI,260707,ANIMAL PHYSIOLOGY,YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
,118,BI51,Hn-BiocClB,Biochemistry and Cell Biology,Biochemistry and Cell Biology,WI91,,UN,BIOL,BA BS,4,RE MU TH WA FI SI,260202,BIOCHEMISTRY,YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
,122,BI52,Hn-EcBehEv,"Ecology, Behavior & Evolution","Ecology, Behavior, and Evolution",WI91,,UN,BIOL,BA BS,4,RE MU TH WA FI SI,261399,ECO/EVOL/SYSTEMATIC/POP BIOL,YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
,123,BI53,Hn-Gen Bio,General Biology,General Biology,WI91,,UN,BIOL,BA BS,4,RE MU TH WA FI SI,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
,570,BI54,Hn-Microbi,Microbiology,Microbiology,WI91,,UN,BIOL,BA BS,4,RE MU TH WA FI SI,260502,"MICROBIOLOGY, GENERAL",YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
,573,BI55,Hn-MolecBi,Molecular Biology,Molecular Biology,WI91,,UN,BIOL,BA BS,4,RE MU TH WA FI SI,260204,MOLECULAR BIOLOGY,YES,,YES,BA is phased out. Only offers BS. ,,,,,,,,
,057,BI56,Hn-PhysNeu,Physiology & Neuroscience,Physiology and Neuroscience,FA05,,UN,BIOL,BS,4,RE MU TH WA FI SI,260906,NEUROBIOLOGY AND NEUROPHYSIOLOGY,YES,,YES,,,,,,,,,
,0DD,BI57,Hn-MolCelB,Molecular and Cell Biology,,FA18,,UN,BIOL,BS,4,RE MU TH WA FI SI,260406,CELLULAR AND MOLECULAR BIOLOGY,YES,,YES,,,,,,,,,
,0DA,BI58,Hn-NeurBio,Neurobiology,Neurobiology - Honors,FA18,,UN,BIOL,BS,4,RE MU TH WA FI SI,261599,"NEUROBIOLOGY AND NEUROSCIENCES, OTHER",YES,,YES,,,,,,,,,
,HIST,BI75,Cell Biol,Cellular Biology,Cellular Biology,FS62,FA90,GR,BIOL,PHD,7,GR,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,,BI76,,,,,,,BIOL,,,,000000,NOT APPLICABLE AT UCSD,,,,Reserved for Historical Code,,,,,,,,
124,123,BI77,Biology,Biology,Biology,FS62,,GR,BIOL,MS PHD,"2,7",GR,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
116,116,BI78,Biology-JD,Biology (Joint Doctoral SDSU),Biology,FA84,,GR,BIOL,PHD,7,GR,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,123,BI79,Biol-CNeur,Biol/Specializ Comput Neurobio,Biology with a Specialization in Computational Neurobiology,FA98,FA10,GR,BIOL,MS PHD,"2,7",GR,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,YES,,,,,,,,,
,12F,BI80,BiolBioinf,Biology w/Spec Bioinformatics,Biology with a Specialization in Bioinformatics,FA00,,GR,BIOL,PHD,7,GR,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,03F,BI81,BioMSBiol,Biology w/Spec Multi-ScaleBio,Biology with a Specialization in Multi-Scale Biology,WI09,,GR,BIOL,PHD,7,GR,260102,"BIOMEDICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,04P,BI82,Biol/Apgn,Biology w/Spec Anthropogeny,Biology with a Specialization in Anthropogeny,WI10,,GR,BIOL,PHD,7,GR,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,09H,BI83,BioQuntBio,Biol w/Spec Quantitative Biol,Biology with a Specialization in Quantitative Biology,FA14,,GR,BIOL,PHD,7,GR,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,123,BI84,Biology,Biology,Biology,FA16,,GR,BIOL,MS,2,GR,260101,"BIOLOGY/BIOLOGICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,0C9,BI85,Biol-PIERS ,Biol w/Spec Intdis Envirn Res,Biology with a Specialization in Interdisciplinary Environmental Research,FA16,,GR,BIOL,PHD,7,GR,261305,ENVIRONMENTAL BIOLOGY,YES,,,,,,,,,,,
,0HG,BI86,Bio Immuno,Biology w/ Spec in Immunology,Biology with a Specialization in Immunology,FA21,,GR,BIOL,PHD,7,GR,269999,"BIOLOGY/BIOLOGICAL SCIENCES, OTHER",YES,,,,,,,,,,,
,0HL,BI87,Bio-BioEd,Biol w/Spec Biology Edu Resrch,Biology with a Specialization in Biology Education Research,FA21,,GR,BIOL,MS,2,GR,269999,"BIOLOGY/BIOLOGICAL SCIENCES, OTHER",YES,,,,,,,,,,,
,0M9,BI88,Bio LSRTec,Biology w/Spec LifSciRsch&Tech,Biology with a Specialization in Life Sciences Research and Technology,FA26,,GR,BIOL,MS,2,GR,269999,"BIOLOGY/BIOLOGICAL SCIENCES, OTHER",YES,,,,,,,,,,,
130,130,BS75,Biomed Sci,Biomedical Sciences,Biomedical Sciences,FA90,,GR,BIOM,MS PHD,"2,7",GR,260102,"BIOMEDICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,13F,BS76,BiomBioinf,Biomed Sci w/Spec Bioinformat,Biomedical Sciences with a Specialization in Bioinformatics,FA00,,GR,BIOM,PHD,7,GR,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,13P,BS77,Biomed-HS,Biomedical Sciences,Biomedical Sciences,FA03,,GR,BIOM,MS PHD,"2,7",GR,260102,"BIOMEDICAL SCIENCES, GENERAL",YES,,,Used for Grad Academics to be allocated to Health Sciences in CSS third week and end of term reporting ,,,,,,,,
,03H,BS78,BiomMSBiol,BiomedSc w/Spec Multi-ScaleBio,Biomedical Sciences with a Specialization in Multi-Scale Biology,WI09,,GR,BIOM,PHD,7,GR,260102,"BIOMEDICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,04Q,BS79,Biom/Apgn,Biomed w/Spec Anthropogeny,Biomedical Sciences with a Specialization in Anthropogeny,WI10,,GR,BIOM,PHD,7,GR,260102,"BIOMEDICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,09I,BS80,BioMSQntBi,BiomedSc w/Spec Quant Biology,Biomedical Sciences with a Specialization in Quantitative Biology,FA14,,GR,BIOM,PHD,7,GR,260102,"BIOMEDICAL SCIENCES, GENERAL",YES,,,,,,,,,,,
,0HF,BS81,BiomImmo,BiomedSci w/Spec in Immunology,Biomedical Sciences with a Specialization in Immunology,FA21,,GR,BIOM,PHD,7,GR,269999,"BIOLOGY/BIOLOGICAL SCIENCES, OTHER",YES,,,,,,,,,,,
025,008,CA25,CALS,Computation & Lang Skills Prog,,FA89,SP91,UN,CALS,NONE,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,174,CA75,Classics,Classics(Tri-Camp Doc UCI/UCR),Classics,FA98,,GR,CLSS,PHD,7,GR,161200,CLASSICS & CLASSICAL LANGUAGE,,,,,,,,,,,,
161,161,CC25,ChicSt-His,Chicano Studies – History,Chicano Studies-History,FA74,FA10,UN,CHIC,BA,4,RE MU TH WA FI,050203,"HISPANIC-AMERICAN, PUERTO RICO",,,YES,,,,,,,,,
164,164,CC26,ChicSt-Lit,Chicano Studies – Literature,Chicano Studies-Literature,FA74,FA10,UN,CHIC,BA,4,RE MU TH WA FI,050203,"HISPANIC-AMERICAN, PUERTO RICO",,,YES,,,,,,,,,
167,167,CC27,ChicSt-Pol,Chicano Studies – Political Sci,Chicano Studies-Political Science,FA76,FA10,UN,CHIC,BA,4,RE MU TH WA FI,050203,"HISPANIC-AMERICAN, PUERTO RICO",,,YES,,,,,,,,,
166,166,CC28,ChicSt-Soc,Chicano Studies – Sociology,Chicano Studies-Sociology,FA74,FA10,UN,CHIC,BA,4,RE MU TH WA FI,050203,"HISPANIC-AMERICAN, PUERTO RICO",,,YES,,,,,,,,,
,759,CE01,Pr-ChemEng,Pre-Chemical Engineering,,FA00,FA09,UN,CENG,NONE,4,RE MU TH WA FI SI,140701,CHEMICAL ENGINEERING,YES,,YES,,,,,,,,,
,294,CE25,Chem Engin,Chemical Engineering,Chemical Engineering,FA00,,UN,CENG,BS,5,RE MU TH WA FI SI SN EI,140701,CHEMICAL ENGINEERING,YES,,,,,,,,,,,
,294,CE75,Chem Engin,Chemical Engineering,Chemical Engineering,FA00,,GR,CENG,MS CPH PHD,"2,2,7",GR,140701,CHEMICAL ENGINEERING,YES,,,,,,,,,,,
176 & 178 ,179,CG25,Cog Sci,Cognitive Science,Cognitive Science,SP89,,UN,COGS,BA BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,"Major offers both BA and BS. The ""Intended Award"" field on the TERMMAJR screen in Academic History will be used to indicate which degree the student is pursuing.  The change of major form has been revised to accommodate. ",,,,,,,,
,179,CG26,CogSc/Clin,Cogn Sci w/Specializ Clin Appl,Cognitive Science with Specialization in Clinical Applications,FA94,FA10,UN,COGS,BS,4,RE MU TH WA FI,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,179,CG27,CogSc/Comp,Cogn Sci w/Specializ Computatn,Cognitive Science with Specialization in Computation,FA94,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,179,CG28,CogSc/HCog,Cogn Sci w/Specializ Human Cog,Cognitive Science with Specialization in Human Cognition,FA94,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,179,CG29,CogSc/Neur,Cogn Sci w/Specializ Neurosci,Cognitive Science with Specialization in Neuroscience,FA94,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,179,CG30,CogSc/HCl,Cogn Sci w/Spec Hum Comp Inter,Cognitive Science with Specialization in Human Computer Interaction,FA00,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,179,CG31,CogSc/ClAs,Cogn Sci w/Spec Clin Asp Cogn,Cognitive Science with Specialization in Clinical Aspects of Cognition,FA00,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,0BG,CG32,CogBehNeur,Cogn & Behavioral Neuroscience,Cognitive and Behavioral Neuroscience,WI16,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,0CG,CG33,CogSc/DeIn,Cogn Sci w/Spec Design & Inter,Cognitive Science with a Specialization in Design and Interaction,FA16,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,0CH,CG34 ,CogSc/LgCl,Cogn Sci w/Spec Lang & Culture,Cognitive Science with a Specialization in Language and Culture,FA16,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,0CI,CG35,CogSc/MhLn,Cogn Sci/Spec MachLrn & NeurCp,Cognitive Science with a Specialization in Machine Learning and Neural Computation,FA16,,UN,COGS,BS,4,RE MU TH WA FI SI SN EI,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,179,CG50,Hn-Cog Sci,Cognitive Science,Cognitive Science,SP98,,UN,COGS,BA BS,4,RE MU TH WA FI SI,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,179,CG51,Hn-CgSc/CA,Cogn Sci w/Specializ Clin Appl,Cognitive Science with Specialization in Clinical Application,FA94,FA10,UN,COGS,BS,4,RE MU TH WA FI,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,179,CG52,Hn-CgSc/Co,Cogn Sci w/Specializ Computatn,Cognitive Science with Specialization in Computation,FA94,,UN,COGS,BS,4,RE MU TH WA FI SI,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,179,CG53,Hn CgSc/HC,Cogn Sci w/Specializ Human Cog,Cognitive Science with Specialization in Human Cognition,FA94,,UN,COGS,BS,4,RE MU TH WA FI SI,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,179,CG54,Hn-CgSc/Ne,Cogn Sci w/Specializ Neurosci,Cognitive Science with Specialization in Neuroscience,FA94,,UN,COGS,BS,4,RE MU TH WA FI SI,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,179,CG55,Hn-CgSc/Cl,Cogn Sci w/Spec Clin Asp Cogn,Cognitive Science with Specialization in Clinical Aspects of Cognition,FA00,,UN,COGS,BS,4,RE MU TH WA FI SI,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
179,179,CG75,Cog Sci,Cognitive Science,Cognitive Science,FA89,,GR,COGS,MS PHD,"2,7",GR,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
218,218,CG76,CogSciAnth,Cognitive Sci & Anthropology,Cognitive Science and Anthropology,FA89,S200,GR,COGS,PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
209,209,CG77,CogSciComp,Cognitive Sci & Computer Sci,Cognitive Science and Computer Science,FA88,S200,GR,COGS,PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
172,172,CG78,CogSciLing,Cognitive Sci & Linguistics,Cognitive Science and Linguistics,FA86,S202,GR,COGS,CPH PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
177,177,CG79,CogSciNeur,Cognitive Sci & Neurosciences,Cognitive Science and Neurosciences,FA84,S200,GR,COGS,PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
199,199,CG80,CogSciPhil,Cognitive Science & Philosophy,Cognitive Science and Philosophy,FA86,S200,GR,COGS,CPH PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
214,214,CG81,CogSciPsyc,Cognitive Science & Psychology,Cognitive Science and Psychology,FA84,S200,GR,COGS,CPH PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,Former major code 179. Systemwide had reassigned 179 to new PhD program CG75,,,,,,,,
880,880,CG82,CogSciSoci,Cognitive Science & Sociology,Cognitive Science and Sociology,FA87,S200,GR,COGS,CPH PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,635,CG83,CogSciComm,Cognitive Science & Communication,Cognitive Science and Communication,FA92,S200,GR,COGS,CPH PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,04O,CG84,CogSc/Apgn,Cog Sci w/Spec Anthropogeny,Cognitive Science with Specialization in Anthropogeny,WI10,,GR,COGS,PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,YES,,,,,,,,,
,0GR,CG85,CogSciHmCD,Cog Sci w/Spec in Hmn-Cntr Des,Cognitive Science with a Specialization in Human-Centered Design,WI21,,GR,COGS,PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,,,,,,,,,,
,0IF,CG86,CogSSpcCSS,CogSci w/Spec in Comp Soc Sci,Cognitive Science with a Specialization in Computational Social Science,S122,,GR,COGS,PHD,7,GR,302501,COGNITIVE SCIENCE,YES,,,CIP effective FA22. Former CIP is 302599,,,,,,,,
,15G,CH01,Pr-Bioinf,Pre-Bioinformatics,,FA01,WI09,UN,CHEM,NONE,4,RE MU TH WA FI SI,261103,BIOINFORMATICS,YES,,YES,,,,,,,,,
153,153,CH25,Chemistry,Chemistry,Chemistry,FS64,S293,UN,CHEM,BA BS,4,RE MU TH WA FI,400501,"CHEMISTRY, GENERAL",YES,,YES,BA phased out. Offers BS only. ,,,,,,,,
153,153,CH25,Chemistry,Chemistry,Chemistry,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI SN EI,400501,"CHEMISTRY, GENERAL",YES,,,,,,,,,,,
150,150,CH26,Chem/Bioch,Chemistry/Biochemistry,,FA85,S393,UN,CHEM,BA BS,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
152,152,CH27,Chm/ChmPhy,Chemistry/Chemical Physics,,FA85,S293,UN,CHEM,BA BS,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
157,157,CH28,Chm/ErthSc,Chemistry w/Specializ Erth Sci,Chemistry with Specialization in Earth Sciences,FA68,,UN,CHEM,BA BS,4,RE MU TH WA FI SI,400599,"CHEMISTRY, OTHER",YES,,YES,,,,,,,,,
,102,CH29,Chm/ChemEd,Chemistry/Chemical Education,,SP92,S293,UN,CHEM,BS,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,103,CH30,Chem/EnvSc,Chemistry/Environmental Sci,,FA92,S293,UN,CHEM,BA BS,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,150,CH31,Bioch/Chem,Biochemistry/Chemistry,Biochemistry/Chemistry,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI SN,260202,BIOCHEMISTRY,YES,,YES,Discontinued and replaced with CH38,,,,,,,,
,152,CH32,Chem Phys,Chemical Physics,Chemical Physics,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI SN EI,400508,CHEMICAL PHYSICS,YES,,YES,,,,,,,,,
,102,CH33,Chem Educ,Chemical Education,Chemical Education,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI SN EI,400599,"CHEMISTRY, OTHER",YES,,YES,BS start WI99,,,,,,,,
,103,CH34,Envir Chem,Environmental Chemistry,Environmental Chemistry,FA93,,UN,CHEM,BA BS,4,RE MU TH WA FI SI SN EI,400599,"CHEMISTRY, OTHER",YES,,,BA is phased out. Only offers BS.,,,,,,,,
,748,CH35,Pharm Chem,Pharmacological Chemistry,Pharmacological Chemistry,WI95,,UN,CHEM,BS,4,RE MU TH WA FI SI SN EI,400599,"CHEMISTRY, OTHER",YES,,,,,,,,,,,
,57A,CH36,MolecSynth,Molecular Synthesis,Molecular Synthesis,FA01,,UN,CHEM,BS,4,RE MU TH WA FI SI SN EI,400599,"CHEMISTRY, OTHER",YES,,,,,,,,,,,
,15F,CH37,Bioinform,Bioinformatics,Bioinformatics,FA01,,UN,CHEM,BS,4,RE MU TH WA FI SI,261103,BIOINFORMATICS,YES,,YES,,,,,,,,,
,111,CH38,Biochem,Biochemistry,Biochemistry,S120,,UN,CHEM,BS,4,RE MU TH WA FI SI SN EI,260202,BIOCHEMISTRY,YES,,,"Created as a ""name change"" for CH31",,,,,,,,
,153,CH50,Hn-Chem,Chemistry,Chemistry,WI91,S293,UN,CHEM,BA BS,4,RE MU TH WA FI,400501,CHEMISTRY AND BIOCHEMISTRY,YES,,YES,BA phased out. Offers BS only. ,,,,,,,,
,153,CH50,Hn-Chem,Chemistry,,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI,400501,CHEMISTRY AND BIOCHEMISTRY,YES,,YES,,,,,,,,,
,150,CH51,Hn-ChBioch,Chemistry/Biochemistry,,WI91,S293,UN,CHEM,BA BS,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,152,CH52,Hn-ChChPhy,Chemistry/Chemical Physics,,WI91,S293,UN,CHEM,BA BS,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,157,CH53,Hn-ChErSci,Chemistry w/Specializ Erth Sci,Chemistry with Specialization in Earth Science,WI91,,UN,CHEM,BS,4,RE MU TH WA FI SI,400599,"CHEMISTRY, OTHER",YES,,YES,,,,,,,,,
,102,CH54,Hn-ChChmEd,Chemistry/Chemical Education,,SP92,S293,UN,CHEM,BS,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,103,CH55,Hn-ChEnvSc,Chemistry/Environmental Sci,,FA92,S293,UN,CHEM,BA,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,150,CH56,Hn-Bioc/Ch,Biochemistry/Chemistry,Biochemistry/Chemistry,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI,260202,BIOCHEMISTRY,YES,,YES,,,,,,,,,
,152,CH57,Hn-Chm Phy,Chemical Physics,Chemical Physics,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI,400508,CHEMICAL PHYSICS,YES,,YES,,,,,,,,,
,102,CH58,Hn-Chem Ed,Chemical Education,Chemical Education,FA93,,UN,CHEM,BS,4,RE MU TH WA FI SI,400599,"CHEMISTRY, OTHER",YES,,YES,,,,,,,,,
,103,CH59,Hn-EnvChem,Environmental Chemistry,Environmental Chemistry,FA93,,UN,CHEM,BA BS,4,RE MU TH WA FI SI,400599,"CHEMISTRY, OTHER",YES,,YES,BS start WI99,,,,,,,,
,748,CH60,Hn-PhmChem,Pharmacological Chemistry,Pharmacological Chemistry,WI95,,UN,CHEM,BS,4,RE MU TH WA FI SI,400599,"CHEMISTRY, OTHER",YES,,YES,,,,,,,,,
153,153,CH75,Chemistry,Chemistry,Chemistry,FS60,,GR,CHEM,MS PHD,"2,7",GR,400501,"CHEMISTRY, GENERAL",YES,,,,,,,,,,,
154,154,CH76,Chem-JD,Chemistry(Joint Doctoral SDSU),Chemistry,FA65,,GR,CHEM,PHD,7,GR,400501,"CHEMISTRY, GENERAL",YES,,,,,,,,,,,
,15F,CH77,ChemBioinf,Chem w/Spec Bioinformatics,Chemistry with Specialization in Bioinformatics,FA00,,GR,CHEM,PHD,7,GR,261103,BIOINFORMATICS,YES,,,,,,,,,,,
,00D,CH78,ChCmptnSc,Chem w/Spec Computational Sci,Chemistry with a Specialization in Computational Science,FA06,,GR,CHEM,PHD,7,GR,400599,"CHEMISTRY, OTHER",YES,,,,,,,,,,,
,451,CH79,Chem&Phys,Chemistry and Physics,Chemistry and Physics,SP06,,GR,CHEM,PHD,7,GR,309999,"MULTI-/INTERDISCIPLINARY STUDIES, OTHER",,,,,,,,,,,,
,03I,CH80,ChemMSBiol,Chem w/Spec Multi-ScaleBio,Chemistry with a Specialization in Multi-Scale Biology,WI09,,GR,CHEM,PHD,7,GR,400599,"CHEMISTRY, OTHER",YES,,,,,,,,,,,
,09J,CH81,ChemQntBio,Chem w/Spec Quantitative Biol,Chemistry with a Specialization in Quantitative Biology,FA14,,GR,CHEM,PHD,7,GR,400599,"CHEMISTRY, OTHER",YES,,,,,,,,,,,
,0B9,CH82,ChemAppMat,Chem w/Spec Appld Mathematics,Chemistry with a Specialization in Applied Mathematics,FA15,,GR,CHEM,PHD,7,GR,400502,ANALYTICAL CHEMISTRY,YES,,,,,,,,,,,
,0BZ,CH83,Chem-PIERS                       ,Chem w/Spec Intdis Envirn Res    ,Chemistry with a Specialization in Interdisciplinary Environmental Research,FA16,,GR,CHEM,PHD,7,GR,400509,ENVIRONMENTAL CHEMISTRY,YES,,,,,,,,,,,
,0I9,CH84,BiochemMol,Biochem & Molecular Biophys,Biochemistry and Molecular Biophysics,FA22,,GR,CHEM,MS PHD,"2,7",GR,260299,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY, OTHER",YES,,,,,,,,,,,
,0IZ,CH85,BChemQunBi,BioChemMolBioPh w/Spec QuantBi,Biochemistry and Molecular Biophysics with a Specialization in Quantitative Biology,WI23,,GR,CHEM,PHD,7,GR,260299,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY, OTHER",YES,,,,,,,,,,,
,0J0,CH86,BChemCmSci,BioChemMolBioPh w/Spec CompSci,Biochemistry and Molecular Biophysics with a Specialization in Computational Science,WI23,,GR,CHEM,PHD,7,GR,260299,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY, OTHER",YES,,,,,,,,,,,
,0J1,CH87,BChemInEnv,BioChemMolBioPh w/Spec IntEnvr,Biochemistry and Molecular Biophysics with a Specialization in Interdisciplinary Environmental Research,WI23,,GR,CHEM,PHD,7,GR,260299,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY, OTHER",YES,,,,,,,,,,,
,0J2,CH88,BChemMltBi,BioChemMolBioPh w/Spec MultBio,Biochemistry and Molecular Biophysics with a Specialization in Multiscale Biology,WI23,,GR,CHEM,PHD,7,GR,260299,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY, OTHER",YES,,,,,,,,,,,
,0K4,CI25,CinmaArt,Cinematic Arts,Cinematic Arts,S124,,UN,CINE,BA,4,RE MU TH WA FI SI SN EI,500601,FILM/CINEMA STUDIES,,,,,,,,,,,,
173,173,CL25,Classic St,Classical Studies,Classical Studies,FA72,,UN,CLAS,BA,4,RE MU TH WA FI SI SN EI,161200,CLASSICS & CLASSICAL LANGUAGE,,,,,,,,,,,,
,173,CL50,Hn-Clas St,Classical Studies,Classical Studies,FA90,,UN,CLAS,BA,4,RE MU TH WA FI SI,161200,CLASSICS & CLASSICAL LANGUAGE,,,YES,,,,,,,,,
720,720,CM01,Pre-Commun,Pre-Communication,,FA82,FA91,UN,COMM,NONE,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,HIST,CM24,CommunArts,Communication Arts,,SP72,SP72,UN,COMM,BA,4,MU,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
187,HIST,CM25,Commun-Soc,Communication – Sociology,,FA75,FA90,UN,COMM,BA,4,RE MU TH WA FI,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
184,184,CM26,Communic,Communication,Communication,FA72,,UN,COMM,BA,4,RE MU TH WA FI SI SN EI,090100,"COMMUNICATION, GENERAL",,,,,,,,,,,,
188,188,CM27,Commun-VA,Communication – Visual Arts,,FA75,SP91,UN,COMM,BA,4,RE MU TH WA FI,000000,"COMMUNICATION AND MEDIA STUDIES, OTHER",,,YES,,,,,,,,,
,0KK,CM28,MedIndComm,Media Industries&Communication,Media Industries and Communication,WI25,,UN,COMM,BA,4,RE MU TH WA FI SI SN EI,090199,"COMMUNICATION AND MEDIA STUDIES, OTHER",,,,,,,,,,,,
,184,CM50,Hn-Comm,Communication,Communication,FA96,,UN,COMM,BA,4,RE MU TH WA FI SI,090199,"COMMUNICATION AND MEDIA STUDIES, OTHER",,,YES,,,,,,,,,
184,184,CM75,Communic,Communication,Communication,FA86,,GR,COMM,MA CPH PHD,"2,2,7",GR,090100,"COMMUNICATION, GENERAL",,,,,,,,,,,,
,635,CM76,CogSciComm,Cognitive Sci & Communication,Cognitive Science and Communication,FA00,FA10,GR,COMM,PHD,7,GR,090199,"COMMUNICATION AND MEDIA STUDIES, OTHER",,,YES,,,,,,,,,
,635,CM77,CommCogSci,Communication & Cognitive Sci,Communication and Cognitive Science,SP03,,GR,COMM,PHD,7,GR,090100,"COMMUNICATION, GENERAL",,,,,,,,,,,,
