"Previous 
Local Code","UCOP Major
Code (CSS)",ISIS Major Code,Major Abbreviation,Major Description ,Diploma Title,Start Term,End Term,"Student 
Level",Department,Award Type,Program Length (in years),College,CIP Code,CIP Description,STEM,"Self 
Supporting","Discontinued or
Phasing Out",Notes,,,,,,,,
280,280,AM76,AMES,Aerospace&Mechanical Engin Sci,,FS64,FA90,GR,AMES,MS CPH PHD,"2,2,7",GR,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
318,318,AM77,Engin Scis,Engineering Sciences,,FS64,FA90,GR,AMES,PHD,7,GR,000000,NOT APPLICABLE AT UCSD,,,YES,,,,,,,,,
,,AM78,,,,,,,AMES,,,,000000,NOT APPLICABLE AT UCSD,,,,Reserved for Historical Code,,,,,,,,
279,279,AM79,Aerosp Eng,Engin Scis (Aerospace Engin),Engineering Sciences (Aerospace Engineering),FS64,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,140201,AEROSPACE/AERONAUTICAL/ASTRO,YES,,YES,,,,,,,,,
074,073,AM80,Appld Mech,Engin Scis (Applied Mechanics),Engineering Sciences (Applied Mechanics),FS64,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,141301,ENGINEERING SCIENCE,YES,,YES,,,,,,,,,
032,032,AM81,ApldMechJD,Eng Scis (Apld Mech-JntDocSDSU),Engineering Sciences (Applied Mechanics),FA87,FA09,GR,AMES,PHD,7,GR,141301,ENGINEERING SCIENCE,YES,,YES,,,,,,,,,
076,076,AM82,ApldOcnSci,Engin Scis (Applied Ocean Sci),Engineering Sciences (Applied Ocean Science),WI81,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,141301,ENGINEERING SCIENCE,YES,,YES,,,,,,,,,
289,664,AM83,Bioengin,Engin Scis (Bioengineering),Engineering Sciences (Bioengineering),FA69,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,149999,"ENGINEERING, OTHER",YES,,YES,,,,,,,,,
295,294,AM84,Chem Engin,Engin Scis (Chemical Engin),Engineering Sciences (Chemical Engineering),FA82,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,140701,CHEMICAL ENGINEERING,YES,,YES,,,,,,,,,
316,315,AM85,Engin Phys,Engin Scis (Engineerng Physics),Engineering Sciences (Engineering Physics),FS64,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,141201,ENGINEERING PHYSICS/APPLIED PHYSICS ,YES,,YES,,,,,,,,,
331,330,AM86,Mech Engin,Engin Scis (Mechanical Engin),Engineering Sciences (Mechanical Engineering),FA85,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,141901,MECHANICAL ENGINEERING,YES,,YES,,,,,,,,,
340,339,AM87,Struc Eng,Engin Scis (Structural Engin),Engineering Sciences (Structural Engineering),FA85,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,140803,STRUCTURAL ENGINEERING,YES,,YES,,,,,,,,,
870,869,AM88,Systms Sci,Engin Scis (Systems Science),Engineering Sciences (Systems Science),FA79,FA09,GR,AMES,MS CPH PHD,"2,2,7",GR,300601,SYSTEMS SCIENCE AND THEORY,YES,,YES,,,,,,,,,
,758,AM89,AMESAdvMan,AMES (Advanced Manufacturing),AMES (Advanced Manufacturing),WI95,FA09,GR,AMES,MS,2,GR,143601,MANUFACTURING ENGINEERING ,YES,,YES,,,,,,,,,
063,063,AN25,Anthropol,Anthropology,Anthropology,FA68,S169,UN,ANTH,BA,4,RE,450201,ANTHROPOLOGY,,,YES,,,,,,,,,
063,063,AN25,Anthropol,Anthropology,Anthropology,FA69,,UN,ANTH,BA,4,RE MU TH WA FI SI,450201,ANTHROPOLOGY,,,YES,,,,,,,,,
